"File","Line","Before","After"
"C:\aiproj\microbrain\.vs\microbrain\v17\DocumentLayout.backup.json","3","""WorkspaceRootPath"": ""G:\\microbrain\\"",","""WorkspaceRootPath"": ""C:\\aiproj\\microbrain\\"","
"C:\aiproj\microbrain\.vs\microbrain\v17\DocumentLayout.backup.json","6","""AbsoluteMoniker"": ""D:0:0:{A2FE74E1-B743-11D0-AE1A-00A0C90FFFC3}|\u003CMiscFiles\u003E|G:\\microbrain\\microbrain\\README_SPLIT.md||{EFC0BB08-EA7D-40C6-A696-C870411A895B}"",","""AbsoluteMoniker"": ""D:0:0:{A2FE74E1-B743-11D0-AE1A-00A0C90FFFC3}|\u003CMiscFiles\u003E|C:\\aiproj\\microbrain\\microbrain\\README_SPLIT.md||{EFC0BB08-EA7D-40C6-A696-C870411A895B}"","
"C:\aiproj\microbrain\.vs\microbrain\v17\DocumentLayout.backup.json","10","""AbsoluteMoniker"": ""D:0:0:{A2FE74E1-B743-11D0-AE1A-00A0C90FFFC3}|\u003CMiscFiles\u003E|G:\\microbrain\\microbrain\\microbrain.py||{8B382828-6202-11D1-8870-0000F87579D2}"",","""AbsoluteMoniker"": ""D:0:0:{A2FE74E1-B743-11D0-AE1A-00A0C90FFFC3}|\u003CMiscFiles\u003E|C:\\aiproj\\microbrain\\microbrain\\microbrain.py||{8B382828-6202-11D1-8870-0000F87579D2}"","
"C:\aiproj\microbrain\.vs\microbrain\v17\DocumentLayout.backup.json","27","""DocumentMoniker"": ""G:\\microbrain\\microbrain\\README_SPLIT.md"",","""DocumentMoniker"": ""C:\\aiproj\\microbrain\\microbrain\\README_SPLIT.md"","
"C:\aiproj\microbrain\.vs\microbrain\v17\DocumentLayout.backup.json","29","""ToolTip"": ""G:\\microbrain\\microbrain\\README_SPLIT.md"",","""ToolTip"": ""C:\\aiproj\\microbrain\\microbrain\\README_SPLIT.md"","
"C:\aiproj\microbrain\.vs\microbrain\v17\DocumentLayout.json","3","""WorkspaceRootPath"": ""G:\\microbrain\\"",","""WorkspaceRootPath"": ""C:\\aiproj\\microbrain\\"","
"C:\aiproj\microbrain\microbrain\microbrain.pyproj","15","<CommandLineArguments>--voice --vosk-model-path ""G:\microbrain\microbrain\models\vosk-model-small-en-us-0.15"" --mic-device 1 --sample-rate 44100 --tts-voice Zira</CommandLineArguments>","<CommandLineArguments>--voice --vosk-model-path ""C:\aiproj\microbrain\microbrain\models\vosk-model-small-en-us-0.15"" --mic-device 1 --sample-rate 44100 --tts-voice Zira</CommandLineArguments>"
"C:\aiproj\microbrain\microbrain\.vs\microbrain\v17\DocumentLayout.backup.json","3","""WorkspaceRootPath"": ""G:\\microbrain\\microbrain\\"",","""WorkspaceRootPath"": ""C:\\aiproj\\microbrain\\microbrain\\"","
"C:\aiproj\microbrain\microbrain\.vs\microbrain\v17\DocumentLayout.json","3","""WorkspaceRootPath"": ""G:\\microbrain\\microbrain\\"",","""WorkspaceRootPath"": ""C:\\aiproj\\microbrain\\microbrain\\"","
"C:\aiproj\microbrain\microbrain\env\pyvenv.cfg","5","command = C:\Users\white\AppData\Local\Programs\Python\Python313\python.exe -m venv G:\microbrain\microbrain\env","command = C:\Users\white\AppData\Local\Programs\Python\Python313\python.exe -m venv C:\aiproj\microbrain\microbrain\env"
"C:\aiproj\microbrain\microbrain\env\Scripts\activate.bat","11","set ""VIRTUAL_ENV=G:\microbrain\microbrain\env""","set ""VIRTUAL_ENV=C:\aiproj\microbrain\microbrain\env"""
